Image,CD11c (Opal 520): Mean,CD11c (Opal 520): Mean_BPAT_threshold,CD11c (Opal 520): Mean_BPAT_class
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.4529,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.2172,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.0676,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.2145,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.8492,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.8291,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.5252,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.1145,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.2507,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.4739,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.6629,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.5679,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.7017,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",5.63,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.2936,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.1564,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.9507,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.2907,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.9363,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.4855,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",8.6426,6.703738588588589,positive
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.6488,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.5265,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.577,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.1215,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.5637,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.2268,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",5.5802,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.8177,6.703738588588589,negative
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.2985,6.703738588588589,negative
