Image,CD11c (Opal 520): Mean
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.6726
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.5404
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.4853
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.6386
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.3612
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.4125
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.0323
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.3363
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.3239
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.9345
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.025
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",3.7186
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",7.8308
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.7201
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.4803
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.5507
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.1525
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.6294
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.3438
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.0522
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.0317
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",4.0166
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.5514
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.3768
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.1732
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.6744
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.4822
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",8.5582
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.3579
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.9573
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.7356
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",2.599
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.4473
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.7732
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.7464
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",1.0121
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.3354
"u967_ADULT_1_10.07.2019_[29126,17235]_component_data.tif - resolution #1",0.5458
